Activity Type,Day,Duration,Start,End,Description,Leader,Support,Scout Mode,Chief,Location,Rain Alternative,Break Time
Setup,Friday Advance,02:00,12:00,14:00,Travel to Camp,All,,,,,,
Setup,Friday Advance,01:30,14:00,15:30,Unpack Equipment and Setup Camp,All,,,,,,
Preparation,Friday Advance,00:00,15:30,15:30,Setup registration table,Ian Webb,,,,Ole Schroeder House,n/a,
Preparation,Friday Advance,00:00,15:30,15:30,Setup Kitchen,Catering team,,,,Kitchen,n/a,
Preparation,Friday Advance,00:00,15:30,15:30,Setup Sick Bay,Medic,,,,Small room in Ole Schroeder House,n/a,
Preparation,Friday Advance,00:00,15:30,15:30,Setup Camp HQ,Fraser Hewson,,,,Ole Schroeder House,n/a,
Preparation,Friday Advance,00:00,15:30,15:30,"Camp decorations, flag and notice board",Fraser Hewson,,,,"Stoep, Barn, Building Exterior",n/a,
Preparation,Friday Advance,00:00,15:30,15:30,Setup Dining Hall,Catering team,,,,Barn,n/a,
Preparation,Friday Advance,00:00,15:30,15:30,Pitch Tents,Scouts,,Scout Patrol,,Down each side of main field,n/a,
Preparation,Friday Advance,00:00,15:30,15:30,Help with what needs to be done,All,,Scout Patrol,,Down each side of main field,n/a,
Setup,Friday Advance,00:10,15:30,15:40,Team Meeting,All,,Scout Patrol,n/a,Ole Schroeder House,,
Setup,Friday Advance,00:40,15:40,16:20,Resume/Complete Camp Setup,All,,Scout Patrol,n/a,,,
Camp Admin,Friday Advance,01:00,16:00,17:00,Arrival at Campsite,Devin Morgan ,Denton Smith ,Not involved,n/a,,,
Preparation,Friday Advance,00:00,17:00,17:00,Finalize any remaining setup,All,All,Scout Patrol,,,,
Cub Setup,Friday Advance,00:00,17:00,17:00,Carry gear to camp site,Scouts,Team B,Scout Patrol,,Campsites,,
Cub Setup,Friday Advance,00:00,17:00,17:00,"Choose a tent, setup bed and place bag in tent",Scouts,Team B,Scout Patrol,,Campsites,,
Activity,Friday Advance,00:25,17:00,17:25,Camp Opening,Fraser Hewson,All,Scout Patrol,n/a,Road below main flag pole,,
Free Time,Friday Advance,00:15,17:25,17:40,Get changed into camp easy. Mess Kit and Jersey to Barn,Ian Webb,Fraser Hewson,Scout Mentors,n/a,Camp Site and Barn,,
Setup,Friday Advance,00:00,17:40,17:40,Quick team meeting to recap for staff who weren't on advance party,Fraser Hewson,All,Scout Patrol,n/a,Stoep,,
Activity,Friday,00:20,17:40,18:00,"Meet your tribe
Choose your chief, meet the team (string + scissors game)",Sian Murray,Team A,Scout Mentors,n/a,Main Field,,
Game,Friday,00:20,18:00,18:20,"Team Quiz
The chief from each tribe is quizzed :
--- What are the names of the members of your tribe?
--- Which cub pack do they belong to?",Fraser Hewson,Team A,Scout Mentors,"Fall In, Answer questions about Team",Under trees next to main field,,
Preparation,Friday,00:00,18:20,18:20,Set up night hike,Dieter Roux ,Team B,Not involved,,Hiking trail,,
Game,Friday,00:20,18:20,18:40,Vanishing Post box,Renaud Snyman,Team A,Scout Patrol Run Base,"Fall In, Receive Instructions, Lead Team",Main Field,,
Preparation,Friday,00:00,18:40,18:40,Setup wash basins for hand washing and dish washing,Petra Botes,Team B,Not involved,,Barn,,
Preparation,Friday,00:00,18:40,18:40,"Set up banner painting supplies (plastic sheets, paints etc.)",Caryn Behrmann ,Team A,Not involved,,Near to Barn/room back of barn,,
Activity,Friday,00:10,18:40,18:50,Tribal Council,Fraser Hewson,Team B,Scout Mentors,Lead Tribal C. Submit Results,Barn,,
Meal,Friday,00:40,18:50,19:30,"Supper
- wash hands
- food is served
- wash up after mean and clean table",Catering team,Team B,Scout Patrol,"Run Tribal, Submit Results, Receive Instruction, Organize Team",Barn,,
Base,Friday,01:00,19:30,20:30,"Night Hike [2 tribes every 10 minutes]
Decode Message",Sian Murray,Team A,Scout Mentors,"Fall In for bases, Receive Instructions, Lead Team",Upper Parade Ground,,
Base,Friday,00:30,20:30,21:00,Make banners for totem poles,Caryn Behrmann ,Team A,Scout Mentors,"Fall In for bases, Receive Instructions, Lead Team",Barn,,
